1,1,Male,Caucasian,11/25/2002,          ,09/17/2008,HISTORY,HISTORY,SENT DIS,
2,1,08/31/1997,04,299,4,SEXUAL ASSAULT ON CHILD,
2,1,08/31/1997,04,999,9,SEXUAL ASSAULT-MISDEMEANOR,
2,1,12/19/1997,15,759,4,POSSESSION CONTRABAND 1ST DEGREE,
2,1,01/06/1998,07,497,4,2ND DEGREE ASSAULT,
3,1,2008-09-17 08:10,HISTORY,HISTORY,SENT DIS,
3,1,2008-09-04 18:37,C.S.P.,CSP/UNIT D,PRES FACIL,
3,1,2008-07-24 14:26,C.S.P.,CSP/UNIT D,PRES FACIL,
3,1,2008-05-01 11:00,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2008-04-09 09:31,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2008-04-08 20:32,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2008-02-27 11:19,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-02-11 09:19,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-02-01 13:46,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-28 11:02,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-28 10:37,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-26 23:57,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-14 15:24,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2008-01-09 09:37,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-08 14:10,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2008-01-08 09:42,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-12-24 10:16,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2007-12-24 10:14,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2007-12-14 06:41,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2007-12-13 18:53,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2007-12-11 13:22,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-11-21 08:33,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-11-14 12:04,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-11-13 10:27,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-10-28 10:18,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-09-28 14:04,BUENAVISTA,BVCF/RH,PRES FACIL,
3,1,2007-09-28 12:56,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-09-17 08:39,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-09-05 14:21,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-09-04 14:04,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-08-30 10:20,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-08-30 09:56,BUENAVISTA,BVCF/SOUTH,PRES FACIL,
3,1,2007-08-30 09:40,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-08-28 12:19,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-08-16 14:03,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-08-16 13:09,BUENAVISTA,BVCF/LW NO,PRES FACIL,
3,1,2007-08-16 11:21,BUENAVISTA,BVCF/INTAK,PRES FACIL,
3,1,2007-01-18 07:44,CENTENNIAL,CCF/UNIT2E,PRES FACIL,
3,1,2006-12-27 12:09,CENTENNIAL,CCF/UNIT2D,PRES FACIL,
3,1,2006-11-22 20:13,CENTENNIAL,CCF/UNIT2D,PRES FACIL,
3,1,2006-11-22 18:43,C.S.P.,CSP/INTAK,PRES FACIL,
